id,name,district
4311,Inderavelly,501
371,Indri,67
5179,Indukurpet,515
3013,Industrial,344
5065,Ipuru,751
4979,Iragavaram,523
2192,Islampur,311
3029,Itamati,367
6604,Itanagar Eac,237
2520,Itkhori,323
5511,Jagalur,535
4991,Jaggaiahpeta,749
4320,Jainoor,699
3690,Jaisinghnagar,429
597,Jaitaran,774
2977,Jajapur,356
4623,Jajireddygudem,696
292,Jakholi*,54
5157,Jaladanki,515
3923,Jalalpore,453
212,Jalandhar - I,34
213,Jalandhar - II,34
587,Jalor,104
2295,Jamalpur,306
2455,Jamboni,703
3808,Jamkandorna,457
5443,Jamkhandi,524
4214,Jamkhed,466
6718,Jammu West,5
2678,Jamtara,333
2536,Jamua,329
7380,Januthar,767
4263,Jaoli,494
3098,Jarada,354
2594,Jaridih,322
2667,Jarmundi,326
3487,Jawad,419
559,Jayal,110
3563,Jeerapur,422
1664,Jengging Circle,240
6481,Jessami,260
3917,Jhagadia,442
679,Jhalrapatan,105
7220,Jhanwar,778
4476,Jharasangam,691
2756,Jharbandha,347
6983,Jharda,435
2585,Jharia-Cum-Jorapokhar-Cum-Sindri,325
487,Jhunjhunun,106
383,Jind,65
3490,Jiran,419
4810,Jiyyammavalasa,743
3225,Jodamba,364
570,Jodhpur,107
124,Jogindarnagar,22
6890,Jol,26
6606,Jomlo Mobuk Circle,679
2159,Jorebunglow Sukiapokhri,309
6070,Jothari,99
384,Julana,65
4746,Julurpadu,690
3827,Junagadh,448
5859,Kadaladi,583
4918,Kadiam,505
6324,Kadthal,518
1145,Kadwa,201
4318,Kagaznagar,699
1336,Kahalgaon,192
1174,Kahara,216
5016,Kaikaluru,748
706,Kairana,660
922,Kaiserganj,125
1878,Kakching,711
2437,Kakdwip,304
4913,Kakinada (Rural),746
24,Kalakote,12
4081,Kalamb,500
6467,Kalanaur,73
7059,Kalavai,731
2171,Kalchini,664
2222,Kaliachak - III,316
3227,Kalimela,364
456,Kalkaji,670
5882,Kalkulam,575
4763,Kalluru,509
1090,Kaluahi,206
6966,Kalyani,320
4447,Kamalapur,686
2118,Kamalpur,291
5372,Kambhamvaripalle,753
6567,Kamengbari Doimara Circle,242
5858,Kamuthi,583
5148,Kandukuru,515
5306,Kanekal,502
1861,Kangpokpi,712
100,Kangra,18
2519,Kanha Chatti,323
2275,Kanksa,704
6251,Kannaigudem,720
3127,Kantamal,349
6608,Kantang Circle,229
6085,Kapeshera,84
3384,Karahal,431
2195,Karandighi,311
523,Karauli,108
5046,Karempudi,751
13,Kargil,6
2101,Karimganj,293
4428,Karimnagar Rural,508
5524,Karkal,549
3,Karnah,8
447,Karol Bagh,77
7344,Karpawand,374
5684,Karunagappally,559
5478,Karwar,550
1135,Kasba,214
1010,Kasganj,633
1514,Kashi Chak,210
346,Kashipur,56
2593,Kasmar,322
2783,Katarbaga,371
2670,Kathikund,326
2096,Katigora,282
2654,Katkamsandi,332
5792,Kattumannarkoil,570
7269,Kelhari,760
6091,Keller,625
3663,Keolari,428
6782,Keran,8
2721,Kersai,342
2466,Keshiary,318
4637,Kethepally,514
2280,Ketugram - II,306
3508,Khacharod,435
6878,Khadda,160
879,Khaga,142
2906,Khaira,346
4505,Khairatabad,507
12,Khaltsi,9
6326,Khammam Urban,509
2297,Khandaghosh,306
6801,Khanyar,13
2461,Kharagpur - II,318
2165,Kharibari,309
1331,Kharik,192
1992,Khatarshnong Laitkroh,274
710,Khatauli,172
4260,Khatav,494
2373,Khatra,305
6771,Khawas,12
1909,Khawbung,262
2683,Khelari,339
2267,Khoyrasol,307
1304,Khudabandpur,191
4138,Khuldabad,469
3444,Khurai,425
5956,Kinathukadavu,569
1195,Kiratpur,195
606,Kishangarh,86
6026,Kishangarh Renwal,783
2597,Kisko,336
5655,Kodungallur,566
4475,Kohir,691
3169,Kokasara,358
7034,Kolar,396
4431,Konaraopet,683
5156,Kondapuram,515
3373,Konta,642
5467,Koppal,543
895,Koraon,120
5122,Korisapadu,750
4416,Korutla,681
338,Kosya Kutauli,51
4791,Kotabommali,519
3123,Kotagarh,359
4371,Kotagiri,516
4351,Kotapally,684
538,Kotputli,782
5252,Kowthalam,511
7345,Koylibeda,381
4952,Koyyalagudem,748
7119,Kranti,314
6264,Krishna,721
2309,Krishnaganj,320
2308,Krishnagar - I,320
5546,Krishnarajpet,544
5323,Kudair,502
4280,Kudal,495
3536,Kukshi,403
59,Kulgam,622
118,Kullu,20
2744,Kumardungi,343
179,Kumarsain,23
5759,Kundah,587
7382,Kundal,97
3210,Kundura,363
4337,Kuntala,680
6962,Kupvi,23
1,Kupwara,8
7156,Kurabad,117
2720,Kurdeg,342
5790,Kurinjipadi,570
5259,Kurnool Rural,511
1155,Kursela,201
2161,Kurseong,309
3344,Kurud,377
2813,Kutra,373
6098,Lada Circle,231
667,Ladpura,109
805,Laharpur,183
115,Lahul,21
4041,Lakhani,471
6468,Lakhan Majra St,73
2771,Lakhanpur,357
3722,Lakhpat,449
5777,Lalgudi,591
7285,Lambloo,17
6789,Langate,8
1018,Lauriya,211
3892,Limkheda,445
1632,Liromoba Eac,243
2573,Litipara,337
3804,Lodhika,457
336,Lohaghat,48
3361,Lohandiguda,374
2601,Lohardaga,336
401,Loharu,59
1758,Longchem,246
1816,Longkhim,249
7341,Lopoke,27
7337,Lumshnong,657
3251,Lundra,389
1913,Lungsen,265
6767,Machail,620
3212,Machh Kund,363
6339,Machhor,45
6785,Machil,8
6362,Madannegi,55
5566,Madikeri,541
4372,Madnoor,685
5841,Madurai South,578
5605,Magadi,631
2423,Magrahat - II,304
4185,Mahad,491
6725,Mahanpur,7
823,Maharajganj,175
411,Mahendragarh,69
3757,Mahesana,451
863,Mahroni,161
1275,Mahua,224
2637,Mahuadanr,335
4095,Mahur,485
534,Mahwa,97
6702,Maira Mandrian,5
3628,Majholi,411
6854,Majitha,27
4813,Makkuva,743
2167,Mal,314
2217,Maldah (Old),316
239,Malout,39
615,Malpura,116
4250,Malshiras,496
3445,Malthon,425
4278,Malwan,495
117,Manali,20
5827,Manamelkudi,582
3128,Manamunda,349
5781,Manapparai,591
3825,Manavadar,448
4352,Mandamarri,684
4776,Mandasa,519
524,Mandrayal,108
3496,Mandsaur,416
5550,Mandya,544
3933,Mangrol,459
670,Mangrol,89
6933,Mania,98
2219,Manikchak,316
5930,Manikpur,136
5648,Mannarkad,563
6273,Manoharabad,513
249,Mansa,37
2285,Manteswar,306
6647,Manur,592
2551,Margo Munda,324
2081,Mariani,290
6263,Marikal,721
5115,Markapuram,517
4512,Marpalle,698
5163,Marripadu,515
5106,Martur,750
69,Marwah,620
1248,Mashrakh,218
762,Mat,167
3875,Matar,450
2182,Mathabhanga II,308
3221,Mathili,364
2015,Matia,287
6858,Maur,28
543,Mauzamabad,769
733,Mawana,169
6540,Mawlai,274
1979,Mawshynrut,279
2177,Maynaguri,314
2255,Mayureswar - I,307
6369,Mdawara,161
1622,Mechuka Adc,725
4415,Medipalli,681
6318,Medipally,700
1799,Medziphema,758
734,Meerut,169
3765,Meghraj,672
562,Merta,110
5736,Mettur,584
1680,Miao Adc,229
